latitude,longitude,data,precipitacao_total_mm,temperatura_media_C,temperatura_max_C,temperatura_min_C,pressao_Pa,vento_u_10m,vento_v_10m
-33.25,-55.75,2025-06-16,2.5615692,9.078298,15.402496,4.9928284,100156.9,-1.012488,-3.5215378
-33.25,-55.5,2025-06-16,2.2563934,8.730479,15.257965,4.4830627,99770.02,-0.8604291,-3.5894496
-33.25,-55.25,2025-06-16,1.897335,8.478282,15.080231,4.0768127,99431.85,-0.5052045,-3.4784062
-33.25,-55.0,2025-06-16,1.2097359,8.397145,14.974762,3.830719,99367.85,-0.0067507424,-3.2479374
-33.25,-54.75,2025-06-16,0.4644394,8.694346,15.513824,3.7897034,100286.02,0.089074455,-2.7655156
-33.25,-54.5,2025-06-16,0.1783371,8.870372,15.969391,3.6940002,101008.1,-0.1648318,-2.631686
-33.25,-54.25,2025-06-16,0.0,8.926442,16.133453,3.5846252,101408.44,-0.31062445,-2.5687382
-33.25,-54.0,2025-06-16,0.0,8.963389,15.97525,3.705719,101510.44,-0.3584353,-2.659233
-33.25,-53.75,2025-06-16,0.0,9.270111,15.608063,4.273346,101744.1,-0.29296494,-2.6437302
-33.25,-53.5,2025-06-16,0.00047683716,9.983002,15.027985,5.6476135,101810.35,-0.2121137,-2.646497
-33.25,-53.25,2025-06-16,0.00047683716,10.403168,14.992828,6.335602,101822.35,-0.023881277,-2.6437302
-33.25,-53.0,2025-06-16,0.0009536743,11.014821,14.977203,7.382721,101839.19,0.22038142,-2.7208378
-33.25,-52.75,2025-06-16,0.0009536743,12.783783,14.595856,11.157379,101881.31,0.65560275,-3.2636845
-33.25,-52.5,2025-06-16,0.002861023,13.609792,15.33316,12.356842,101915.19,1.0782509,-3.610934
-33.25,-52.25,2025-06-16,0.062465668,14.098887,15.817535,12.960358,101938.15,1.4591509,-3.6054814
-33.25,-52.0,2025-06-16,0.04529953,14.3854265,15.983551,13.305328,101940.98,1.716353,-3.400729
-33.25,-51.75,2025-06-16,0.030994415,14.654714,16.08316,13.705719,101944.15,1.9504839,-3.1569545
-33.25,-51.5,2025-06-16,0.022411346,14.816986,16.233551,14.040436,101975.56,2.168176,-2.955742
-33.25,-51.25,2025-06-16,0.0166893,14.935069,16.487457,14.272125,101950.52,2.4215534,-2.728854
-33.25,-51.0,2025-06-16,0.0,15.174164,16.940582,14.581451,101973.23,2.7301064,-2.535413
-33.25,-50.75,2025-06-16,0.0,15.541351,17.540192,14.992096,101974.1,3.093998,-2.3571498
-33.25,-50.5,2025-06-16,0.0,15.969818,18.116364,15.316315,101960.23,3.4498737,-2.1807582
-33.25,-50.25,2025-06-16,0.0,16.352957,18.380035,15.626862,101988.02,3.7788937,-1.951795
-33.25,-50.0,2025-06-16,0.020980835,16.5962,18.423004,15.871002,101972.1,4.075199,-1.6935349
-33.25,-49.75,2025-06-16,0.05197525,16.841806,18.45816,16.146393,101979.06,4.41016,-1.4104131
-33.25,-49.5,2025-06-16,0.1320839,17.04664,18.483551,16.368317,101983.06,4.755863,-1.1098353
-33.25,-49.25,2025-06-16,0.22935867,17.224457,18.499176,16.510895,101968.73,5.09884,-0.8184535
-33.25,-49.0,2025-06-16,0.269413,17.325857,18.46988,16.610016,101984.9,5.414595,-0.49256644
-33.0,-58.0,2025-06-16,0.85401535,10.880951,16.29898,7.641266,101227.52,-1.3454145,-3.7374802
-33.0,-57.75,2025-06-16,1.0857582,10.757904,16.513824,7.2643127,101118.35,-1.3424441,-3.5106735
-33.0,-57.5,2025-06-16,1.9783974,10.689137,16.558746,7.113922,101061.23,-1.3090376,-3.2821987
-33.0,-57.25,2025-06-16,3.8657188,10.653412,16.543121,7.111969,100986.02,-1.2729454,-3.1620815
-33.0,-57.0,2025-06-16,4.848957,10.488536,16.662262,6.7916565,100829.65,-1.3952192,-3.2612839
-33.0,-56.75,2025-06-16,5.150318,10.227956,16.3732,6.500641,100661.81,-1.4315554,-3.2506638
-33.0,-56.5,2025-06-16,4.7240257,10.16277,15.996246,6.5768127,100574.56,-1.4615847,-3.2997768
-33.0,-56.25,2025-06-16,3.9896965,10.095876,15.810699,6.5533752,100457.85,-1.4425825,-3.3830287
-33.0,-56.0,2025-06-16,3.8642883,9.807546,15.793121,6.0690002,100261.81,-1.3607954,-3.4093552
-33.0,-55.75,2025-06-16,2.8438568,9.452972,15.923981,5.3561096,100245.69,-1.2792116,-3.390068
-33.0,-55.5,2025-06-16,2.5701523,9.083018,15.728668,4.827301,99844.81,-1.1803347,-3.5140507
-33.0,-55.25,2025-06-16,2.368927,8.778493,15.459137,4.40152,99418.23,-0.9025841,-3.5713017
-33.0,-55.0,2025-06-16,2.1328926,8.662852,15.300934,4.188629,99246.48,-0.3749962,-3.4709194
-33.0,-54.75,2025-06-16,0.9241104,8.854665,15.666168,4.129547,99683.35,-0.08438746,-3.312106
-33.0,-54.5,2025-06-16,0.23841858,8.9635515,15.839996,3.971344,100034.94,-0.078650154,-3.2084682
-33.0,-54.25,2025-06-16,0.0,9.042572,16.055328,3.8756409,100597.06,-0.1927859,-2.988538
-33.0,-54.0,2025-06-16,0.0,9.216563,16.244781,3.8522034,101241.52,-0.2963829,-2.743787
-33.0,-53.75,2025-06-16,0.0,9.687592,16.00064,4.6158752,101736.85,-0.353227,-2.6155727
-33.0,-53.5,2025-06-16,0.0038146973,11.396901,14.465485,8.848053,101822.19,-0.30960718,-2.923556
-33.0,-53.25,2025-06-16,0.00333786,11.3541765,14.516266,8.181305,101844.02,-0.26460394,-2.7054977
-33.0,-53.0,2025-06-16,0.0019073486,11.347992,14.877594,8.064117,101858.27,-0.10729599,-2.5401738
-33.0,-52.75,2025-06-16,0.005722046,11.947682,15.004059,9.193268,101905.06,0.14530818,-2.660698
-33.0,-52.5,2025-06-16,0.011444092,12.951263,14.83609,10.962799,101899.69,0.5491168,-3.1775844
-33.0,-52.25,2025-06-16,0.02336502,13.73764,15.70816,12.21402,101947.81,1.0616493,-3.5291874
-33.0,-52.0,2025-06-16,0.17404556,14.355072,16.167145,13.235016,101954.48,1.4823443,-3.530164
-33.0,-51.75,2025-06-16,0.27227402,14.672292,16.266754,13.655426,101948.23,1.7563515,-3.2468388
-33.0,-51.5,2025-06-16,0.121593475,14.924408,16.368317,13.985016,101973.52,1.947188,-2.971204
-33.0,-51.25,2025-06-16,0.039577484,15.059906,16.561676,14.2565,101971.85,2.1298053,-2.7380905
-33.0,-51.0,2025-06-16,0.018119812,15.23235,16.887848,14.502594,101984.52,2.408207,-2.50339
-33.0,-50.75,2025-06-16,0.002861023,15.543549,17.397614,14.886139,101992.1,2.7220905,-2.3272426
-33.0,-50.5,2025-06-16,0.002861023,15.979828,18.010895,15.384186,101994.4,3.06169,-2.1931279
-33.0,-50.25,2025-06-16,0.00667572,16.394297,18.385895,15.80069,101999.31,3.4020221,-1.988294
-33.0,-50.0,2025-06-16,0.01335144,16.707123,18.514801,16.14444,101993.56,3.7496784,-1.7921677
-33.0,-49.75,2025-06-16,0.023841858,16.957937,18.534332,16.40274,101997.77,4.070845,-1.5087204
-33.0,-49.5,2025-06-16,0.0538826,17.185232,18.538239,16.598053,102001.98,4.401005,-1.208753
-33.0,-49.25,2025-06-16,0.116825104,17.387787,18.55777,16.824615,101993.81,4.7647743,-0.91749316
-33.0,-49.0,2025-06-16,0.16355515,17.534842,18.52066,16.99405,101984.77,5.074426,-0.57219696
-32.75,-58.0,2025-06-16,1.3427734,11.027924,16.635406,7.7311096,101075.4,-1.3465945,-3.7202682
-32.75,-57.75,2025-06-16,2.8686523,10.9027605,16.853668,7.3678284,100907.56,-1.3264122,-3.59478
-32.75,-57.5,2025-06-16,4.6629906,10.825124,17.039215,7.1315002,100802.85,-1.2838503,-3.4854863
-32.75,-57.25,2025-06-16,5.926132,10.76588,17.175934,6.9654846,100682.77,-1.2602907,-3.4240444
-32.75,-57.0,2025-06-16,5.77116,10.63681,17.287262,6.7018127,100561.9,-1.3537153,-3.3362758
-32.75,-56.75,2025-06-16,5.525589,10.566417,17.074371,6.692047,100548.56,-1.4109255,-3.252454
-32.75,-56.5,2025-06-16,5.3949356,10.6823015,16.328278,7.252594,100597.15,-1.5085411,-3.3282597
-32.75,-56.25,2025-06-16,5.2843094,10.803151,15.547028,7.830719,100612.4,-1.610714,-3.485934
-32.75,-56.0,2025-06-16,4.9037933,10.677338,15.504303,7.6178284,100526.77,-1.6764284,-3.5262172
-32.75,-55.75,2025-06-16,5.2671432,10.071218,16.306793,6.155426,100554.85,-1.5389366,-3.1853154
-32.75,-55.5,2025-06-16,4.234314,9.613861,16.410309,5.1183167,100334.31,-1.464311,-3.1069462
-32.75,-55.25,2025-06-16,3.0579567,9.264008,16.20523,4.573395,99961.69,-1.31567,-3.1538212
-32.75,-55.0,2025-06-16,2.254963,9.020355,15.914215,4.3487854,99545.98,-1.0116743,-3.2308884
-32.75,-54.75,2025-06-16,0.29087067,8.712657,15.578278,3.9093323,99096.48,-0.59610623,-3.1808395
-32.75,-54.5,2025-06-16,0.04053116,8.786305,15.539215,3.9068909,99179.15,-0.17113876,-3.130099
-32.75,-54.25,2025-06-16,0.0052452087,9.056732,15.879059,3.908844,99857.1,-0.009232839,-2.9656296
